run_id,demand_level,cap_key,year,trace_directory,cap_t,share_min,solver_options,model_status,objective_value,pdlp_gap_rel,lp_rows,solve_s,wall_clock_s,network_path,record_path
idm_d100_i050_2030,d100,i050,2030,traces_d100,37353388.95337177,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,4069574110.0,,12030866,5242.825538400095,5870.237449700013,analysis\benchmarks\runs_myopic\idm_d100_i050_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i050_2030.json
idm_d100_i050_2040,d100,i050,2040,traces_d100,21596407.581738316,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,14310483200.0,,12598724,9380.064187299926,10006.250586000271,analysis\benchmarks\runs_myopic\idm_d100_i050_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i050_2040.json
idm_d100_i050_2050,d100,i050,2050,traces_d100,12017964.149620624,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,10656576700.0,,12646736,11843.187270999886,12470.365978800226,analysis\benchmarks\runs_myopic\idm_d100_i050_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i050_2050.json
idm_d100_i100_2030,d100,i100,2030,traces_d100,74706777.90674354,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,2270587800.0,,12030866,2157.2230189000256,2788.358285000082,analysis\benchmarks\runs_myopic\idm_d100_i100_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i100_2030.json
idm_d100_i100_2040,d100,i100,2040,traces_d100,43192815.16347663,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,12968824800.0,,12598724,7045.163538000081,7645.5482279001735,analysis\benchmarks\runs_myopic\idm_d100_i100_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i100_2040.json
idm_d100_i100_2050,d100,i100,2050,traces_d100,24035928.29924125,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,9693494730.0,,12646736,3864.2441654996946,4479.64594240021,analysis\benchmarks\runs_myopic\idm_d100_i100_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i100_2050.json
idm_d100_s005_2030,d100,s005,2030,traces_d100,,0.939436,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,7760471280.0,,12030866,4956.357698100153,5569.339325300418,analysis\benchmarks\runs_myopic\idm_d100_s005_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_s005_2030.json
idm_d100_s005_2040,d100,s005,2040,traces_d100,,0.927401,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,16337131100.0,,12598724,3515.1071615000255,4155.321229499765,analysis\benchmarks\runs_myopic\idm_d100_s005_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_s005_2040.json
idm_d100_s005_2050,d100,s005,2050,traces_d100,,0.954117,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,13028301800.0,,12646736,3187.127711799927,3805.5855586999096,analysis\benchmarks\runs_myopic\idm_d100_s005_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_s005_2050.json
idm_d100_s025_2030,d100,s025,2030,traces_d100,,0.878638,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,5335755620.0,,12030866,3494.423092499841,4197.392116399948,analysis\benchmarks\runs_myopic\idm_d100_s025_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_s025_2030.json
